2026-08-09T21:27:52-04:00
Running ./reclaim_array_bm
Run on (8 X 24 MHz CPU s)
Load Average: 3.56, 2.61, 2.53
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"time_per_reclaiming_write"
"BM_reclaim/no_subscribers/iterations:1000/manual_time_mean",20,40.5107,31958.7,ns,,3.06067e+07,,,,4.05107e-08
"BM_reclaim/no_subscribers/iterations:1000/manual_time_median",20,29.783,31689.5,ns,,3.35764e+07,,,,2.9783e-08
"BM_reclaim/no_subscribers/iterations:1000/manual_time_stddev",20,38.2194,1634.57,ns,,7.40914e+06,,,,3.82194e-08
"BM_reclaim/no_subscribers/iterations:1000/manual_time_cv",20,0.943439,0.0511464,,,0.242076,,,,0.943439
"BM_reclaim/one_head/iterations:1000/manual_time_mean",20,34.9055,31122,ns,,2.9235e+07,,,,3.49055e-08
"BM_reclaim/one_head/iterations:1000/manual_time_median",20,33.201,31108,ns,,3.01196e+07,,,,3.3201e-08
"BM_reclaim/one_head/iterations:1000/manual_time_stddev",20,5.82206,551.917,ns,,3.75747e+06,,,,5.82206e-09
"BM_reclaim/one_head/iterations:1000/manual_time_cv",20,0.166795,0.017734,,,0.128527,,,,0.166795
"BM_reclaim/one_mid/iterations:1000/manual_time_mean",20,28.2729,40521.5,ns,,3.55703e+07,,,,2.82729e-08
"BM_reclaim/one_mid/iterations:1000/manual_time_median",20,27.66,40650,ns,,3.61536e+07,,,,2.766e-08
"BM_reclaim/one_mid/iterations:1000/manual_time_stddev",20,2.2485,556.39,ns,,2.66239e+06,,,,2.2485e-09
"BM_reclaim/one_mid/iterations:1000/manual_time_cv",20,0.0795286,0.0137307,,,0.0748487,,,,0.0795286
"BM_reclaim/one_tail_minus_1/iterations:1000/manual_time_mean",20,37.3552,47668.3,ns,,2.94202e+07,,,,3.73552e-08
"BM_reclaim/one_tail_minus_1/iterations:1000/manual_time_median",20,31.36,47549.5,ns,,3.19503e+07,,,,3.136e-08
"BM_reclaim/one_tail_minus_1/iterations:1000/manual_time_stddev",20,13.6614,736.458,ns,,7.90185e+06,,,,1.36614e-08
"BM_reclaim/one_tail_minus_1/iterations:1000/manual_time_cv",20,0.365716,0.0154496,,,0.268586,,,,0.365716
"BM_reclaim/one_tail/iterations:1000/manual_time_mean",20,37.7451,48786.9,ns,,2.88761e+07,,,,3.77451e-08
"BM_reclaim/one_tail/iterations:1000/manual_time_median",20,34.949,48067.5,ns,,2.86694e+07,,,,3.4949e-08
"BM_reclaim/one_tail/iterations:1000/manual_time_stddev",20,13.1701,2030.75,ns,,7.58435e+06,,,,1.31701e-08
"BM_reclaim/one_tail/iterations:1000/manual_time_cv",20,0.348922,0.041625,,,0.262651,,,,0.348922
"BM_reclaim/ten_one_at_head/iterations:1000/manual_time_mean",20,119.89,180242,ns,,9.80072e+06,,,,1.1989e-07
"BM_reclaim/ten_one_at_head/iterations:1000/manual_time_median",20,121.647,178500,ns,,8.40871e+06,,,,1.21647e-07
"BM_reclaim/ten_one_at_head/iterations:1000/manual_time_stddev",20,45.6936,6471.78,ns,,4.33158e+06,,,,4.56936e-08
"BM_reclaim/ten_one_at_head/iterations:1000/manual_time_cv",20,0.381129,0.0359061,,,0.441965,,,,0.381129
"BM_reclaim/ten_one_at_mid/iterations:1000/manual_time_mean",20,90.5262,190068,ns,,1.40135e+07,,,,9.05262e-08
"BM_reclaim/ten_one_at_mid/iterations:1000/manual_time_median",20,82.394,185265,ns,,1.24079e+07,,,,8.2394e-08
"BM_reclaim/ten_one_at_mid/iterations:1000/manual_time_stddev",20,50.7611,16151,ns,,6.36136e+06,,,,5.07611e-08
"BM_reclaim/ten_one_at_mid/iterations:1000/manual_time_cv",20,0.560733,0.0849746,,,0.453946,,,,0.560733
"BM_reclaim/ten_one_at_tail_minus_1/iterations:1000/manual_time_mean",20,53.95,188274,ns,,1.92494e+07,,,,5.395e-08
"BM_reclaim/ten_one_at_tail_minus_1/iterations:1000/manual_time_median",20,49.6085,187883,ns,,2.01603e+07,,,,4.96085e-08
"BM_reclaim/ten_one_at_tail_minus_1/iterations:1000/manual_time_stddev",20,12.1985,3496.41,ns,,3.39114e+06,,,,1.21985e-08
"BM_reclaim/ten_one_at_tail_minus_1/iterations:1000/manual_time_cv",20,0.226107,0.0185709,,,0.176168,,,,0.226107
"BM_reclaim/ten_all_at_tail/iterations:1000/manual_time_mean",20,33.3777,188297,ns,,3.06361e+07,,,,3.33777e-08
"BM_reclaim/ten_all_at_tail/iterations:1000/manual_time_median",20,31.142,187896,ns,,3.21119e+07,,,,3.1142e-08
"BM_reclaim/ten_all_at_tail/iterations:1000/manual_time_stddev",20,6.02429,2525.05,ns,,4.02035e+06,,,,6.02429e-09
"BM_reclaim/ten_all_at_tail/iterations:1000/manual_time_cv",20,0.180488,0.0134099,,,0.131229,,,,0.180488
"BM_reclaim/ten_all_at_head/iterations:1000/manual_time_mean",20,115.104,31203.9,ns,,8.70961e+06,,,,1.15104e-07
"BM_reclaim/ten_all_at_head/iterations:1000/manual_time_median",20,112.842,31157,ns,,8.862e+06,,,,1.12842e-07
"BM_reclaim/ten_all_at_head/iterations:1000/manual_time_stddev",20,6.08069,724.308,ns,,435638,,,,6.08069e-09
"BM_reclaim/ten_all_at_head/iterations:1000/manual_time_cv",20,0.0528276,0.0232121,,,0.0500181,,,,0.0528276
"BM_reclaim/ten_all_at_mid/iterations:1000/manual_time_mean",20,62.2288,115187,ns,,1.64812e+07,,,,6.22288e-08
"BM_reclaim/ten_all_at_mid/iterations:1000/manual_time_median",20,58.0795,114526,ns,,1.72202e+07,,,,5.80795e-08
"BM_reclaim/ten_all_at_mid/iterations:1000/manual_time_stddev",20,12.2192,2352.88,ns,,2.23307e+06,,,,1.22192e-08
"BM_reclaim/ten_all_at_mid/iterations:1000/manual_time_cv",20,0.196359,0.0204267,,,0.135492,,,,0.196359
"BM_reclaim/ten_head_mid_tail/iterations:1000/manual_time_mean",20,60.3542,156356,ns,,1.7384e+07,,,,6.03542e-08
"BM_reclaim/ten_head_mid_tail/iterations:1000/manual_time_median",20,58.3705,155845,ns,,1.71326e+07,,,,5.83705e-08
"BM_reclaim/ten_head_mid_tail/iterations:1000/manual_time_stddev",20,14.2311,3237.7,ns,,3.70924e+06,,,,1.42311e-08
"BM_reclaim/ten_head_mid_tail/iterations:1000/manual_time_cv",20,0.235793,0.0207073,,,0.213371,,,,0.235793
"BM_reclaim_subscriber_scaling/subscribers:1/iterations:1000/manual_time_mean",20,34.3379,31271.5,ns,,2.92893e+07,,,,3.43379e-08
"BM_reclaim_subscriber_scaling/subscribers:1/iterations:1000/manual_time_median",20,33.795,31114.5,ns,,2.95903e+07,,,,3.3795e-08
"BM_reclaim_subscriber_scaling/subscribers:1/iterations:1000/manual_time_stddev",20,2.839,1657.73,ns,,2.14084e+06,,,,2.839e-09
"BM_reclaim_subscriber_scaling/subscribers:1/iterations:1000/manual_time_cv",20,0.0826783,0.0530108,,,0.0730931,,,,0.0826783
"BM_reclaim_subscriber_scaling/subscribers:2/iterations:1000/manual_time_mean",20,48.6073,30718.8,ns,,2.1597e+07,,,,4.86073e-08
"BM_reclaim_subscriber_scaling/subscribers:2/iterations:1000/manual_time_median",20,45.071,30544.5,ns,,2.21878e+07,,,,4.5071e-08
"BM_reclaim_subscriber_scaling/subscribers:2/iterations:1000/manual_time_stddev",20,16.5042,715.223,ns,,3.22149e+06,,,,1.65042e-08
"BM_reclaim_subscriber_scaling/subscribers:2/iterations:1000/manual_time_cv",20,0.339542,0.0232829,,,0.149164,,,,0.339542
"BM_reclaim_subscriber_scaling/subscribers:4/iterations:1000/manual_time_mean",20,61.3794,30957.8,ns,,1.63562e+07,,,,6.13794e-08
"BM_reclaim_subscriber_scaling/subscribers:4/iterations:1000/manual_time_median",20,62.94,30602.5,ns,,1.5889e+07,,,,6.294e-08
"BM_reclaim_subscriber_scaling/subscribers:4/iterations:1000/manual_time_stddev",20,3.84724,1135.72,ns,,1.07886e+06,,,,3.84724e-09
"BM_reclaim_subscriber_scaling/subscribers:4/iterations:1000/manual_time_cv",20,0.0626796,0.0366862,,,0.0659603,,,,0.0626796
"BM_reclaim_subscriber_scaling/subscribers:8/iterations:1000/manual_time_mean",20,94.597,30808.9,ns,,1.05841e+07,,,,9.4597e-08
"BM_reclaim_subscriber_scaling/subscribers:8/iterations:1000/manual_time_median",20,93.8775,30833.5,ns,,1.06522e+07,,,,9.38775e-08
"BM_reclaim_subscriber_scaling/subscribers:8/iterations:1000/manual_time_stddev",20,3.41707,675.323,ns,,378062,,,,3.41707e-09
"BM_reclaim_subscriber_scaling/subscribers:8/iterations:1000/manual_time_cv",20,0.0361224,0.0219197,,,0.0357197,,,,0.0361224
"BM_reclaim_subscriber_scaling/subscribers:16/iterations:1000/manual_time_mean",20,157.119,31453.4,ns,,6.37168e+06,,,,1.57119e-07
"BM_reclaim_subscriber_scaling/subscribers:16/iterations:1000/manual_time_median",20,156.807,31606.5,ns,,6.3773e+06,,,,1.56807e-07
"BM_reclaim_subscriber_scaling/subscribers:16/iterations:1000/manual_time_stddev",20,5.35671,626.971,ns,,218638,,,,5.35671e-09
"BM_reclaim_subscriber_scaling/subscribers:16/iterations:1000/manual_time_cv",20,0.0340933,0.0199333,,,0.0343141,,,,0.0340933
"BM_reclaim_subscriber_scaling/subscribers:32/iterations:1000/manual_time_mean",20,296.311,32598.6,ns,,3.37731e+06,,,,2.96311e-07
"BM_reclaim_subscriber_scaling/subscribers:32/iterations:1000/manual_time_median",20,294.533,32660.5,ns,,3.3952e+06,,,,2.94533e-07
"BM_reclaim_subscriber_scaling/subscribers:32/iterations:1000/manual_time_stddev",20,8.30535,774.164,ns,,92991.6,,,,8.30535e-09
"BM_reclaim_subscriber_scaling/subscribers:32/iterations:1000/manual_time_cv",20,0.0280292,0.0237483,,,0.0275342,,,,0.0280292
"BM_reclaim_subscriber_scaling/subscribers:64/iterations:1000/manual_time_mean",20,574.97,33818.9,ns,,1.74145e+06,,,,5.7497e-07
"BM_reclaim_subscriber_scaling/subscribers:64/iterations:1000/manual_time_median",20,577.097,33715.5,ns,,1.73281e+06,,,,5.77097e-07
"BM_reclaim_subscriber_scaling/subscribers:64/iterations:1000/manual_time_stddev",20,20.818,662.463,ns,,64822.1,,,,2.0818e-08
"BM_reclaim_subscriber_scaling/subscribers:64/iterations:1000/manual_time_cv",20,0.0362072,0.0195886,,,0.0372231,,,,0.0362072
"BM_reclaim_subscriber_scaling/subscribers:128/iterations:1000/manual_time_mean",20,1515.47,36987.1,ns,,797199,,,,1.51547e-06
"BM_reclaim_subscriber_scaling/subscribers:128/iterations:1000/manual_time_median",20,1199.94,37055.5,ns,,833379,,,,1.19994e-06
"BM_reclaim_subscriber_scaling/subscribers:128/iterations:1000/manual_time_stddev",20,1395.5,712.623,ns,,159266,,,,1.3955e-06
"BM_reclaim_subscriber_scaling/subscribers:128/iterations:1000/manual_time_cv",20,0.920835,0.0192668,,,0.199781,,,,0.920835
"BM_reclaim_subscriber_scaling/iterations:1000/manual_time_BigO",,11.1654,407.791,N,,,,,,
"BM_reclaim_subscriber_scaling/iterations:1000/manual_time_RMS",,1.39491e-09,7.551e-10,,,,,,,
