Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-09T21:27:52-04:00
Running ./reclaim_array_bm
Run on (8 X 24 MHz CPU s)
Load Average: 3.56, 2.61, 2.53
-------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                 Time             CPU   Iterations UserCounters...
-------------------------------------------------------------------------------------------------------------------------------------------
BM_reclaim/no_subscribers/iterations:1000/manual_time_mean                             40.5 ns        31959 ns           20 items_per_second=30.6067M/s time_per_reclaiming_write=40.5107ns
BM_reclaim/no_subscribers/iterations:1000/manual_time_median                           29.8 ns        31690 ns           20 items_per_second=33.5764M/s time_per_reclaiming_write=29.783ns
BM_reclaim/no_subscribers/iterations:1000/manual_time_stddev                           38.2 ns         1635 ns           20 items_per_second=7.40914M/s time_per_reclaiming_write=38.2194ns
BM_reclaim/no_subscribers/iterations:1000/manual_time_cv                              94.34 %          5.11 %            20 items_per_second=24.21% time_per_reclaiming_write=94.34%
BM_reclaim/one_head/iterations:1000/manual_time_mean                                   34.9 ns        31122 ns           20 items_per_second=29.235M/s time_per_reclaiming_write=34.9055ns
BM_reclaim/one_head/iterations:1000/manual_time_median                                 33.2 ns        31108 ns           20 items_per_second=30.1196M/s time_per_reclaiming_write=33.201ns
BM_reclaim/one_head/iterations:1000/manual_time_stddev                                 5.82 ns          552 ns           20 items_per_second=3.75747M/s time_per_reclaiming_write=5.82206ns
BM_reclaim/one_head/iterations:1000/manual_time_cv                                    16.68 %          1.77 %            20 items_per_second=12.85% time_per_reclaiming_write=16.68%
BM_reclaim/one_mid/iterations:1000/manual_time_mean                                    28.3 ns        40521 ns           20 items_per_second=35.5703M/s time_per_reclaiming_write=28.2729ns
BM_reclaim/one_mid/iterations:1000/manual_time_median                                  27.7 ns        40650 ns           20 items_per_second=36.1536M/s time_per_reclaiming_write=27.66ns
BM_reclaim/one_mid/iterations:1000/manual_time_stddev                                  2.25 ns          556 ns           20 items_per_second=2.66239M/s time_per_reclaiming_write=2.2485ns
BM_reclaim/one_mid/iterations:1000/manual_time_cv                                      7.95 %          1.37 %            20 items_per_second=7.48% time_per_reclaiming_write=7.95%
BM_reclaim/one_tail_minus_1/iterations:1000/manual_time_mean                           37.4 ns        47668 ns           20 items_per_second=29.4202M/s time_per_reclaiming_write=37.3552ns
