2026-08-09T21:27:18-04:00
Running ./reclaim_vector_bm
Run on (8 X 24 MHz CPU s)
Load Average: 2.99, 2.38, 2.46
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"time_per_reclaiming_write"
"BM_reclaim/no_subscribers/iterations:1000/manual_time_mean",20,25.4433,25776.7,ns,,3.98515e+07,,,,2.54433e-08
"BM_reclaim/no_subscribers/iterations:1000/manual_time_median",20,24.6825,25717.5,ns,,4.05147e+07,,,,2.46825e-08
"BM_reclaim/no_subscribers/iterations:1000/manual_time_stddev",20,3.54886,723.227,ns,,4.18648e+06,,,,3.54886e-09
"BM_reclaim/no_subscribers/iterations:1000/manual_time_cv",20,0.139481,0.0280575,,,0.105052,,,,0.139481
"BM_reclaim/one_head/iterations:1000/manual_time_mean",20,26.4234,25470.2,ns,,3.79818e+07,,,,2.64234e-08
"BM_reclaim/one_head/iterations:1000/manual_time_median",20,26.217,25564.5,ns,,3.81484e+07,,,,2.6217e-08
"BM_reclaim/one_head/iterations:1000/manual_time_stddev",20,1.66431,465.818,ns,,2.28593e+06,,,,1.66431e-09
"BM_reclaim/one_head/iterations:1000/manual_time_cv",20,0.0629864,0.0182888,,,0.060185,,,,0.0629864
"BM_reclaim/one_mid/iterations:1000/manual_time_mean",20,35.1291,36110,ns,,3.05329e+07,,,,3.51291e-08
"BM_reclaim/one_mid/iterations:1000/manual_time_median",20,28.8065,34447,ns,,3.47167e+07,,,,2.88065e-08
"BM_reclaim/one_mid/iterations:1000/manual_time_stddev",20,10.5289,3927.99,ns,,7.42508e+06,,,,1.05289e-08
"BM_reclaim/one_mid/iterations:1000/manual_time_cv",20,0.299721,0.108778,,,0.243183,,,,0.299721
"BM_reclaim/one_tail_minus_1/iterations:1000/manual_time_mean",20,26.1418,40130.7,ns,,3.84205e+07,,,,2.61418e-08
"BM_reclaim/one_tail_minus_1/iterations:1000/manual_time_median",20,25.774,40067,ns,,3.87994e+07,,,,2.5774e-08
"BM_reclaim/one_tail_minus_1/iterations:1000/manual_time_stddev",20,1.80534,759.796,ns,,2.55858e+06,,,,1.80534e-09
"BM_reclaim/one_tail_minus_1/iterations:1000/manual_time_cv",20,0.0690597,0.0189331,,,0.0665941,,,,0.0690597
"BM_reclaim/one_tail/iterations:1000/manual_time_mean",20,26.6668,39928.7,ns,,3.85128e+07,,,,2.66668e-08
"BM_reclaim/one_tail/iterations:1000/manual_time_median",20,24.923,39925,ns,,4.01253e+07,,,,2.4923e-08
"BM_reclaim/one_tail/iterations:1000/manual_time_stddev",20,5.49403,700.68,ns,,5.2891e+06,,,,5.49403e-09
"BM_reclaim/one_tail/iterations:1000/manual_time_cv",20,0.206025,0.0175483,,,0.137333,,,,0.206025
