Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-09T21:27:18-04:00
Running ./reclaim_vector_bm
Run on (8 X 24 MHz CPU s)
Load Average: 2.99, 2.38, 2.46
-------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                 Time             CPU   Iterations UserCounters...
-------------------------------------------------------------------------------------------------------------------------------------------
BM_reclaim/no_subscribers/iterations:1000/manual_time_mean                             25.4 ns        25777 ns           20 items_per_second=39.8515M/s time_per_reclaiming_write=25.4433ns
BM_reclaim/no_subscribers/iterations:1000/manual_time_median                           24.7 ns        25717 ns           20 items_per_second=40.5147M/s time_per_reclaiming_write=24.6825ns
BM_reclaim/no_subscribers/iterations:1000/manual_time_stddev                           3.55 ns          723 ns           20 items_per_second=4.18648M/s time_per_reclaiming_write=3.54886ns
BM_reclaim/no_subscribers/iterations:1000/manual_time_cv                              13.95 %          2.81 %            20 items_per_second=10.51% time_per_reclaiming_write=13.95%
BM_reclaim/one_head/iterations:1000/manual_time_mean                                   26.4 ns        25470 ns           20 items_per_second=37.9818M/s time_per_reclaiming_write=26.4234ns
BM_reclaim/one_head/iterations:1000/manual_time_median                                 26.2 ns        25565 ns           20 items_per_second=38.1484M/s time_per_reclaiming_write=26.217ns
BM_reclaim/one_head/iterations:1000/manual_time_stddev                                 1.66 ns          466 ns           20 items_per_second=2.28593M/s time_per_reclaiming_write=1.66431ns
BM_reclaim/one_head/iterations:1000/manual_time_cv                                     6.30 %          1.83 %            20 items_per_second=6.02% time_per_reclaiming_write=6.30%
BM_reclaim/one_mid/iterations:1000/manual_time_mean                                    35.1 ns        36110 ns           20 items_per_second=30.5329M/s time_per_reclaiming_write=35.1291ns
BM_reclaim/one_mid/iterations:1000/manual_time_median                                  28.8 ns        34447 ns           20 items_per_second=34.7167M/s time_per_reclaiming_write=28.8065ns
BM_reclaim/one_mid/iterations:1000/manual_time_stddev                                  10.5 ns         3928 ns           20 items_per_second=7.42508M/s time_per_reclaiming_write=10.5289ns
BM_reclaim/one_mid/iterations:1000/manual_time_cv                                     29.97 %         10.88 %            20 items_per_second=24.32% time_per_reclaiming_write=29.97%
BM_reclaim/one_tail_minus_1/iterations:1000/manual_time_mean                           26.1 ns        40131 ns           20 items_per_second=38.4205M/s time_per_reclaiming_write=26.1418ns
